name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories,category
McDonald's,719 E Thunderbird Rd,Phoenix,AZ,85022,33.6070702,-112.0643825,1.0,10,fast food;burgers;restaurants,American
Charr An American Burger Bar,"777 E Thunderbird Rd, Ste 107",Phoenix,AZ,85022,33.60731,-112.063404,3.0,232,burgers;restaurants,American
McDonald's,1635 E Camelback Rd,Phoenix,AZ,85016,33.5087649,-112.04624,3.0,34,restaurants;burgers;fast food,American
Little Caesars Pizza,10720 E Southern Ave,Mesa,AZ,85209,33.3948766,-111.6001938,2.5,4,restaurants;pizza,Italian
Tandoori Times Indian Bistro,"8140 N Hayden Rd, Ste H115",Scottsdale,AZ,85258,33.55521186,-111.9004563,3.5,263,restaurants;gluten-free;indian;seafood,Indian
Red Lobster,2810 North 75th Ave,Phoenix,AZ,85035,33.4787353,-112.2213794,2.5,37,american (traditional);restaurants;seafood,American
D'Lish Cafe,503 W Thomas Rd,Phoenix,AZ,85013,33.4803014,-112.0805864,4.0,37,vegan;american (new);restaurants;sandwiches;salad;wraps;food,American
Firehouse Subs,"3420 E Baseline Rd, Ste 101",Mesa,AZ,85204,33.3796209,-111.7571603,3.5,82,food;delis;fast food;sandwiches;restaurants,American
Simply Burgers,1455 W Elliot Rd,Gilbert,AZ,85233,33.3496582,-111.8212381,3.0,5,burgers;restaurants,American
Papa John's Pizza,3441 W Northern Ave,Phoenix,AZ,85051,33.5528695,-112.1337118,2.5,7,pizza;restaurants;fast food,Italian
Yakiramen,10605 N 43rd Ave,Phoenix,AZ,85029,33.5823628,-112.1498845,4.0,66,nightlife;japanese;music venues;ramen;arts & entertainment;restaurants;bars,Japanese
Luke's Of Chicago,15223 N Northsight Blvd,Scottsdale,AZ,85260,33.62282995,-111.89219,3.5,50,italian;restaurants;sandwiches;hot dogs,Italian
Red Viet Cuisine - Sushi,"5221 S Power Rd, Ste 104",Mesa,AZ,85212,33.32106858,-111.6851718,3.5,164,sushi bars;restaurants;japanese;asian fusion;vietnamese,Japanese
Pho Noodles,3417 N 7th Ave,Phoenix,AZ,85013,33.4887595,-112.0824018,4.5,172,restaurants;noodles;vietnamese,Vietnamese
Affinito's Bistro,"3655 W Anthem Way, Ste C-137",Phoenix,AZ,85086,33.8649643,-112.1388202,3.0,6,restaurants;italian,Italian
Olive Garden Italian Restaurant,10223 N Metro Parkway E,Phoenix,AZ,85051,33.5803023,-112.1196529,3.0,40,restaurants;italian,Italian
Smashburger,5215 W Baseline Rd,Laveen,AZ,85339,33.37648045,-112.171589,3.0,23,burgers;restaurants,American
Village Inn,2780 E Germann Rd,Chandler,AZ,85248,33.2792396,-111.7928411,3.5,49,american (traditional);breakfast & brunch;salad;burgers;restaurants,American
Sandstone Cafe,4959 W Ray Rd,Chandler,AZ,85226,33.3183691,-111.9276449,3.0,10,restaurants;american (traditional),American
Fresko A Mediterranean Kitchen,5033 E Elliot Rd,Phoenix,AZ,85044,33.347893,-111.9768218,4.5,88,greek;vegetarian;sandwiches;mediterranean;restaurants,Mediterranean
Nando's Mexican Cafe,6715 E McDowell Rd,Mesa,AZ,85215,33.4658931,-111.6858266,3.5,192,restaurants;mexican,Mexican
Bangkok Thai Bar-B-Q,13828 N 51st Ave,Glendale,AZ,85306,33.61152085,-112.1704866,4.0,131,restaurants;asian fusion;thai,Thai
Del Taco,1483 N Dysart Rd,Avondale,AZ,85323,33.454393,-112.3404076,2.5,23,restaurants;fast food;mexican,Mexican
Pho Dam,2025 N Dobson Rd,Chandler,AZ,85224,33.3362676,-111.8741442,4.0,17,restaurants;vietnamese,Vietnamese
Arby's,17032 N 99th Ave,Sun City,AZ,85373,33.63926287,-112.2752562,3.5,9,american (traditional);restaurants;sandwiches;steakhouses;american (new);fast food,American
Kabuki Sushi & Grill,"8378 W Thunderbird Rd, Ste 107",Peoria,AZ,85381,33.6114217,-112.2395205,4.0,157,restaurants;japanese;sushi bars,Japanese
AZ Pho & Grill,"3140 S Gilbert Rd, Ste 1",Chandler,AZ,85286,33.2606908,-111.7903737,4.0,249,bubble tea;restaurants;food;vietnamese,Vietnamese
Taco Bell,15240 N. 32nd Street,Phoenix,AZ,85032,33.6259,-112.0136,2.0,18,tex-mex;fast food;restaurants;mexican,Mexican
Yoshi's Asian Grill,3800 E Sky Harbor Blvd,Phoenix,AZ,85034,33.4356207,-112.0095457,2.5,14,restaurants;asian fusion,Asian Fusion
Fleming's Prime Steakhouse-Scottsdale,20753 N Pima Rd,Scottsdale,AZ,85255,33.674238,-111.889288,3.5,190,nightlife;restaurants;steakhouses;wine bars;bars;seafood,American
Sesame Inn Carefree,34482 N Scottsdale Rd,Scottsdale,AZ,85262,33.7983014,-111.9307437,3.5,90,restaurants;chinese,Chinese
Burrito Express,450 N Alma School R,Mesa,AZ,85201,33.4235954,-111.8568585,2.5,92,mexican;restaurants,Mexican
Filiberto's Mexican Rest,3218 E Mcdowell Rd,Phoenix,AZ,85008,33.4660114,-112.0123338,3.0,7,restaurants;mexican,Mexican
Mo's Chicken,3505 W Thomas Rd,Phoenix,AZ,85019,33.4800487,-112.1347018,3.0,10,restaurants;chicken shop,American
Federico's Mexican Food,13132 W Camelback Rd,Litchfield Park,AZ,85340,33.508441,-112.341953,3.5,63,mexican;restaurants,Mexican
Little Caesars Pizza,13011 W Greenway Blvd,El Mirage,AZ,85335,33.62305489,-112.3397575,2.5,15,restaurants;pizza,Italian
Cin-Cin Restaurant,4425 N Buckboard Trl.,Scottsdale,AZ,85251,33.5012604,-111.9233633,3.0,5,lounges;restaurants;nightlife;bars;italian,Italian
IHOP,935 W Elliot Rd,Chandler,AZ,85224,33.3493477,-111.8565147,2.5,78,american (new);restaurants;breakfast & brunch;american (traditional),American
Dinkey Donkey,37636 N Tom Darlington Rd,Cave Creek,AZ,85331,33.8271931,-111.9237212,4.5,3,delis;restaurants,American
Big Wa,990 E Riggs Rd,Chandler,AZ,85249,33.2195026,-111.8247181,3.0,4,chinese;restaurants,Chinese
The Good Egg - Val Vista,1939 S Val Vista Dr,Mesa,AZ,85204,33.380479,-111.7533699,4.0,109,american (new);breakfast & brunch;restaurants,American
Curry Garden,"1533 W Elliot Rd, Ste 101",Gilbert,AZ,85233,33.3492557,-111.8223441,4.0,109,restaurants;indian;buffets,Indian
Mucha Lucha Taco Shop,1530 S Val Vista Dr,Gilbert,AZ,85296,33.322367,-111.756204,4.5,199,restaurants;tacos;mexican,Mexican
Little Caesars Pizza,6466 S Higley Rd,Gilbert,AZ,85298,33.23194166,-111.7212182,4.0,9,pizza;restaurants,Italian
Modern Round,8320 W Mariners Way,Peoria,AZ,85382,33.629059,-112.2381128,3.5,130,arts & entertainment;virtual reality centers;bars;restaurants;arcades;american (new);food;nightlife,American
Julio's Too,7305 E Camelback Rd,Scottsdale,AZ,85251,33.5019605,-111.9230924,4.0,166,restaurants;mexican,Mexican
Rosati's Pizza,"4010 E Bell Rd, Ste 101",Phoenix,AZ,85032,33.6418473,-111.9955708,3.0,67,restaurants;pizza,Italian
La Santisima,1919 N 16th St,Phoenix,AZ,85006,33.469201,-112.047393,4.0,1694,vegetarian;nightlife;mexican;bars;vegan;restaurants;breakfast & brunch;cafes,Mexican
