name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
"""McDonald's""","""719 E Thunderbird Rd""",Phoenix,AZ,85022,33.6070702,-112.0643825,1,10,Fast Food;Burgers;Restaurants
"""Charr An American Burger Bar""","""777 E Thunderbird Rd, Ste 107""",Phoenix,AZ,85022,33.60731,-112.063404,3,232,Burgers;Restaurants
"""McDonald's""","""1635 E Camelback Rd""",Phoenix,AZ,85016,33.5087649,-112.04624,3,34,Restaurants;Burgers;Fast Food
"""Little Caesars Pizza""","""10720 E Southern Ave""",Mesa,AZ,85209,33.3948766,-111.6001938,2.5,4,Restaurants;Pizza
"""Caviness Studio""","""""",Phoenix,AZ,85001,33.4499672,-112.0702225,5,4,Marketing;Men's Clothing;Restaurants;Graphic Design;Women's Clothing;Screen Printing;Advertising;Pizza;Shopping;Web Design;Fashion;Local Services;Screen Printing/T-Shirt Printing;Professional Services
"""Tandoori Times Indian Bistro""","""8140 N Hayden Rd, Ste H115""",Scottsdale,AZ,85258,33.55521186,-111.9004563,3.5,263,Restaurants;Gluten-Free;Indian;Seafood
"""Red Lobster""","""2810 North 75th Ave""",Phoenix,AZ,85035,33.4787353,-112.2213794,2.5,37,American (Traditional);Restaurants;Seafood
"""D'Lish Cafe""","""503 W Thomas Rd""",Phoenix,AZ,85013,33.4803014,-112.0805864,4,37,Vegan;American (New);Restaurants;Sandwiches;Salad;Wraps;Food
"""Firehouse Subs""","""3420 E Baseline Rd, Ste 101""",Mesa,AZ,85204,33.3796209,-111.7571603,3.5,82,Food;Delis;Fast Food;Sandwiches;Restaurants
"""Simply Burgers""","""1455 W Elliot Rd""",Gilbert,AZ,85233,33.3496582,-111.8212381,3,5,Burgers;Restaurants
"""Papa John's Pizza""","""3441 W Northern Ave""",Phoenix,AZ,85051,33.5528695,-112.1337118,2.5,7,Pizza;Restaurants;Fast Food
"""Yakiramen""","""10605 N 43rd Ave""",Phoenix,AZ,85029,33.5823628,-112.1498845,4,66,Nightlife;Japanese;Music Venues;Ramen;Arts & Entertainment;Restaurants;Bars
"""Luke's Of Chicago""","""15223 N Northsight Blvd""",Scottsdale,AZ,85260,33.62282995,-111.89219,3.5,50,Italian;Restaurants;Sandwiches;Hot Dogs
"""Red Viet Cuisine - Sushi""","""5221 S Power Rd, Ste 104""",Mesa,AZ,85212,33.32106858,-111.6851718,3.5,164,Sushi Bars;Restaurants;Japanese;Asian Fusion;Vietnamese
"""Pho Noodles""","""3417 N 7th Ave""",Phoenix,AZ,85013,33.4887595,-112.0824018,4.5,172,Restaurants;Noodles;Vietnamese
"""Affinito's Bistro""","""3655 W Anthem Way, Ste C-137""",Phoenix,AZ,85086,33.8649643,-112.1388202,3,6,Restaurants;Italian
"""Olive Garden Italian Restaurant""","""10223 N Metro Parkway E""",Phoenix,AZ,85051,33.5803023,-112.1196529,3,40,Restaurants;Italian
"""Smashburger""","""5215 W Baseline Rd""",Laveen,AZ,85339,33.37648045,-112.171589,3,23,Burgers;Restaurants
"""Palette""","""1625 N Central Ave""",Phoenix,AZ,85004,33.4667324,-112.0727233,3.5,43,Event Planning & Services;American (New);Sandwiches;Salad;Caterers;Restaurants
"""Village Inn""","""2780 E Germann Rd""",Chandler,AZ,85248,33.2792396,-111.7928411,3.5,49,American (Traditional);Breakfast & Brunch;Salad;Burgers;Restaurants
